"","LSOA.CODE","PCD7","PCD8","OA11CD","LSOA11CD","LSOA11NM","MSOA11CD","MSOA11NM","LAD11CD","LAD11NM","LAD11NMW","PCDOASPLT","LA.CODE","LA.NAME","GOR.CODE","GOR.NAME","IMD.SCORE","RANK.OF.IMD.SCORE..where.1.is.most.deprived."
"25679","E01000855","WC1B3BS","WC1B 3BS","E00174659","E01000855","Camden 028A","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",15,18246
"25719","E01000855","WC1B3ND","WC1B 3ND","E00174659","E01000855","Camden 028A","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",15,18246
"28061","E01000919","WC2H8PW","WC2H 8PW","E00004530","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28070","E01000919","WC2H8NL","WC2H 8NL","E00004522","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28071","E01000919","WC2H9NB","WC2H 9NB","E00004530","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28072","E01000919","WC2H0JE","WC2H 0JE","E00004530","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28073","E01000919","WC2H0LA","WC2H 0LA","E00004530","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28074","E01000919","WC2H9NP","WC2H 9NP","E00004530","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28076","E01000919","WC2H8HL","WC2H 8HL","E00004530","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28077","E01000919","WC2H8NN","WC2H 8NN","E00004522","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28078","E01000919","WC2H8NG","WC2H 8NG","E00004522","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28081","E01000919","WC2H8BS","WC2H 8BS","E00004530","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28082","E01000919","WC2H8HJ","WC2H 8HJ","E00004530","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28083","E01000919","WC2H9LL","WC2H 9LL","E00004530","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28086","E01000919","WC2H9NU","WC2H 9NU","E00004529","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28093","E01000919","WC2H8DF","WC2H 8DF","E00004523","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28094","E01000919","WC2H8LS","WC2H 8LS","E00004530","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28095","E01000919","WC2H8BU","WC2H 8BU","E00004530","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28097","E01000919","WC2H9QS","WC2H 9QS","E00004523","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28100","E01000919","WC2H8LH","WC2H 8LH","E00004522","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28101","E01000919","WC2H8LN","WC2H 8LN","E00004522","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28102","E01000919","WC2H8DE","WC2H 8DE","E00004523","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28103","E01000919","WC2H9LN","WC2H 9LN","E00004523","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28104","E01000919","WC2H9NA","WC2H 9NA","E00004529","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28114","E01000919","WC2H8LW","WC2H 8LW","E00004522","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28118","E01000919","WC2H9LE","WC2H 9LE","E00004529","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
"28124","E01000919","WC2H8DS","WC2H 8DS","E00004523","E01000919","Camden 028D","E02000193","Camden 028","E09000007","Camden","",0,"00AG","Camden","H","London",25.53,10379
